600,
127,12:02:28
113,12:03:17
110,12:04:36
120,12:05:35
112,12:06:36
126,12:07:14
109,12:08:13
118,12:09:19
107,12:10:31
102,12:11:29
111,12:12:40
123,12:13:31
106,12:14:15
116,12:15:15
105,12:16:26
117,12:17:36
119,12:18:41
114,12:19:44
202,12:02:33
206,12:03:36
201,12:04:25
223,12:05:33
225,12:06:35
213,12:07:20
215,12:08:21
226,12:09:27
220,12:10:30
210,12:11:28
222,12:12:25
203,12:13:18
221,12:14:35
219,12:15:26
217,12:16:33
305,12:02:48
320,12:03:30
313,12:04:33
331,12:05:40
303,12:06:21
309,12:07:18
323,12:08:28
307,12:09:19
330,12:10:30
312,12:11:42
324,12:12:18
328,12:13:47
311,12:14:39
325,12:15:24
329,12:16:32
332,12:17:44
308,12:18:36
315,12:19:29
310,12:20:36
515,12:20:26
504,12:21:32
522,12:22:37
508,12:23:34
524,12:24:19
501,12:25:28
503,12:26:28
521,12:27:17
525,12:28:31
608,12:17:34
624,12:18:25
614,12:19:32
618,12:20:33
611,12:21:34
616,12:22:22
607,12:23:26
612,12:24:17
609,12:25:32
604,12:26:30
605,12:27:22
704,12:21:34
721,12:22:18
727,12:23:29
719,12:24:44
706,12:25:28
726,12:26:26
718,12:27:26
702,12:28:33
717,12:29:19
714,12:30:39
716,12:31:22
722,12:32:33
701,12:33:29
