1400,
527,12:24:59
517,12:25:56
520,12:27:00
513,12:27:55
522,12:28:59
514,12:29:55
518,12:30:54
523,12:33:02
108,12:06:49
124,12:06:35
107,12:07:37
102,12:08:46
121,12:09:47
103,12:11:07
115,12:12:14
110,12:13:07
101,12:14:07
106,12:14:50
112,12:15:49
116,12:16:47
104,12:18:07
109,12:18:04
111,12:19:47
126,12:21:17
119,12:21:59
125,12:22:58
626,12:19:52
615,12:22:04
619,12:24:17
621,12:23:55
625,12:25:10
618,12:26:04
616,12:26:54
622,12:28:00
612,12:29:16
603,12:30:04
602,12:31:20
213,12:05:54
210,12:07:02
220,12:08:00
208,12:09:04
204,12:10:03
211,12:11:00
206,12:11:50
217,12:12:46
224,12:14:06
214,12:14:56
209,12:16:04
205,12:17:02
201,12:17:59
223,12:19:02
207,12:20:03
